orig,calibrated,y
1,0.9646270755342422,1
0,0.0003215394991288,0
0,1.4164834859476346e-05,0
1,0.9876766377010743,1
1,0.9998377411636701,1
1,0.9999948413125247,1
1,0.9999349512660658,1
1,0.992794470671238,1
0,0.1255547303188761,0
0,0.002407825321105957,0
1,0.9997459239833199,1
0,0.013630752182806165,0
1,0.9931759570061479,1
1,0.9573862234600184,1
0,0.0004987878198618041,0
0,1.1826007756337785e-06,0
0,0.0001432281784980902,0
0,0.020960481580455347,0
1,0.9210332301163936,1
1,0.6749937316736603,1
0,0.026098863276054946,0
0,0.0007909207665330033,0
0,0.006537322547590197,0
1,0.6532889204679841,0
1,0.5581811360495047,1
0,0.010157532131054013,0
0,1.860898367903839e-05,0
1,0.9845601839752687,1
1,0.9999954501310193,1
1,0.9714982675814338,1
0,0.05776853476275248,0
1,0.8024701397953807,1
1,0.9980316836688037,1
1,0.9947490408783265,1
0,0.03372977923593468,0
1,0.5246216148421,1
0,0.00032400303550687246,0
0,0.006758442250923581,0
0,0.16515587611009055,0
0,0.015373937497000853,0
0,0.007712061453801629,0
1,0.7634339061003379,1
1,0.8604706585592231,1
1,0.5209474710422474,1
0,3.578519754527307e-05,0
0,0.01354702101379781,0
1,0.5520598544136703,0
1,0.4000169293521492,0
0,0.13964226964268026,0
1,0.9999925024147572,1
1,0.9761427850280009,1
1,0.9998426634874454,1
1,0.9901500467284092,1
0,0.05032874410768305,0
1,0.9993272732201184,1
1,0.9880130669951731,1
0,0.29959789367237305,0
1,0.9933212525182575,1
1,0.965614950013583,1
1,0.6699028382879668,1
0,0.0008256716105607774,0
0,0.03839852253864601,0
0,6.267921041869957e-05,0
0,0.0008813813490211965,0
1,0.9999928440844836,1
1,0.5872855296164341,0
1,0.9970349112475642,1
0,0.011773246245084208,0
1,0.9912134857993236,1
1,0.9995014447489893,1
1,0.9916114603826242,1
0,0.011721744983120393,0
0,0.03055162973222463,0
1,0.981700158951187,1
1,0.9929039092244561,1
1,0.5569106710969146,0
0,0.0017152308767113091,0
1,0.9872852261518549,1
1,0.9915679699095935,1
1,0.9926804159668301,1
0,0.03125167852772531,0
1,0.9931975064868627,1
1,0.9349962485130985,1
0,2.0091274154522558e-05,0
0,1.560516689708472e-05,0
0,2.339967777632224e-05,0
0,0.16908335958626794,0
0,0.006031145292281297,0
1,0.9831476935792026,1
0,0.093031004327004,0
1,0.9634385192528924,1
1,0.9513915385596219,1
0,0.050333939746731185,0
1,0.7150804291371338,1
1,0.9673028663403865,1
1,0.9836633600682532,1
1,0.9994139007387345,1
0,0.0035916316044713823,0
0,0.3068906443321171,1
0,0.032111393896582296,0
0,8.149930548327903e-05,0
0,0.04281083250161889,0
0,5.038044582841916e-06,0
0,6.400618152979906e-07,0
1,0.9881042982529405,1
0,0.0004122154990695884,0
0,0.005104613812607856,0
1,0.9256325189768486,1
1,0.9690942341582134,1
0,0.002654307362820719,0
0,0.04785212260922597,0
1,0.9870907715473781,1
0,0.14020147728930396,0
1,0.9242627609425854,1
1,0.6691069954270303,1
0,0.2467388047386297,0
1,0.9933415668936284,1
1,0.9079236229518272,1
1,0.9969359739246509,1
0,0.13958695527915962,0
0,0.0001592960565677893,0
0,0.0020829675047633854,0
1,0.9558998257739433,1
1,0.9940315980166604,1
1,0.5332143252558414,0
1,0.8813296595594645,1
1,0.9995990885675076,1
1,0.9998194990222196,1
0,0.023776335890065465,0
1,0.9225065742717011,1
1,0.9918889595541268,1
1,0.8859722938909992,1
0,0.009270066241106958,0
0,0.0505252168689189,0
1,0.9534808042131131,1
0,0.028825337282230842,0
1,0.9992176766554377,1
1,0.9836316483626899,1
0,0.007705050494599556,0
1,0.9995987811868218,1
0,0.002050106593315968,0
0,0.00028711681788946917,0
0,0.08047963900268786,0
0,0.15226399353612746,0
1,0.9999027397062725,1
0,1.318393641745637e-05,0
1,0.999853213155784,1
0,8.514305740108055e-05,0
0,0.025779535127316032,0
0,0.011489194476124695,0
0,0.00027549818339048227,0
1,0.9994946752459043,1
0,0.07730030624254566,0
1,0.9922028520425731,1
0,0.001966355139474617,0
1,0.9998771117474404,1
1,0.9999156044574798,1
0,0.00012462473100749346,0
0,0.003541657033976502,0
